Neighbor list in replicated POSCAR file
Nearest neighbor distance: 1.926
Neighbor distances: (angstrom), number of neighbors
117th nearest neighbor distance: 9.998, number of neighbors: 64
118th nearest neighbor distance: 10.054, number of neighbors: 52
119th nearest neighbor distance: 10.100, number of neighbors: 72
120th nearest neighbor distance: 10.131, number of neighbors: 32
121th nearest neighbor distance: 10.141, number of neighbors: 176
122th nearest neighbor distance: 10.155, number of neighbors: 80
123th nearest neighbor distance: 10.177, number of neighbors: 100
124th nearest neighbor distance: 10.189, number of neighbors: 154
125th nearest neighbor distance: 10.217, number of neighbors: 44
126th nearest neighbor distance: 10.241, number of neighbors: 80
127th nearest neighbor distance: 10.251, number of neighbors: 152
128th nearest neighbor distance: 10.275, number of neighbors: 192
129th nearest neighbor distance: 10.326, number of neighbors: 44
130th nearest neighbor distance: 10.369, number of neighbors: 56
131th nearest neighbor distance: 10.456, number of neighbors: 120
132th nearest neighbor distance: 10.493, number of neighbors: 60
133th nearest neighbor distance: 10.513, number of neighbors: 56
134th nearest neighbor distance: 10.521, number of neighbors: 104
135th nearest neighbor distance: 10.535, number of neighbors: 48
136th nearest neighbor distance: 10.574, number of neighbors: 156
137th nearest neighbor distance: 10.588, number of neighbors: 72
138th nearest neighbor distance: 10.628, number of neighbors: 16
139th nearest neighbor distance: 10.664, number of neighbors: 40
140th nearest neighbor distance: 10.745, number of neighbors: 144
141th nearest neighbor distance: 10.763, number of neighbors: 40
142th nearest neighbor distance: 10.768, number of neighbors: 40
143th nearest neighbor distance: 10.810, number of neighbors: 64
144th nearest neighbor distance: 10.831, number of neighbors: 120
145th nearest neighbor distance: 10.836, number of neighbors: 48
146th nearest neighbor distance: 10.869, number of neighbors: 36
147th nearest neighbor distance: 10.891, number of neighbors: 56
148th nearest neighbor distance: 10.896, number of neighbors: 156
149th nearest neighbor distance: 10.920, number of neighbors: 22
150th nearest neighbor distance: 10.931, number of neighbors: 108
151th nearest neighbor distance: 10.942, number of neighbors: 44
152th nearest neighbor distance: 10.945, number of neighbors: 14
153th nearest neighbor distance: 10.971, number of neighbors: 48
